日期,時間,賽事編號,球隊,得分,總比分,讓分,讓分賠率,不讓分賠率,大小分,大小分賠率,單雙賠率
2022/4/8,AM 07:30,20220408-1,費城76人,114,114 : 119,-3.5,客1.7,1.4,220.5,大1.7,單1.75
2022/4/8,AM 07:30,20220408-1,多倫多暴龍,119,114 : 119,3.5,主1.8,2.3,220.5,小1.8,雙1.75
2022/4/8,AM 07:30,20220408-2,波士頓塞爾提克,121,121 : 127,8.5,客1.7,3,227.5,大1.7,單1.75
2022/4/8,AM 07:30,20220408-2,密爾瓦基公鹿,127,121 : 127,-8.5,主1.8,1.22,227.5,小1.8,雙1.75
2022/4/8,AM 08:00,20220408-3,聖安東尼奧馬刺,121,121 : 127,7.5,客1.7,2.7,240.5,大1.7,單1.75
2022/4/8,AM 08:00,20220408-3,明尼蘇達灰狼,127,121 : 127,-7.5,主1.8,1.28,240.5,小1.8,雙1.75
2022/4/8,AM 08:00,20220408-4,波特蘭拓荒者,94,94 : 127,16.5,客1.75,,224.5,大1.7,單1.75
2022/4/8,AM 08:00,20220408-4,紐奧良鵜鶘,127,94 : 127,-16.5,主1.75,,224.5,小1.8,雙1.75
2022/4/8,AM 09:00,20220408-5,曼斐斯灰熊,109,109 : 122,4.5,客1.75,2.15,234.5,大1.7,單1.75
2022/4/8,AM 09:00,20220408-5,丹佛金塊,122,109 : 122,-4.5,主1.75,1.45,234.5,小1.8,雙1.75
2022/4/8,AM 10:00,20220408-6,洛杉磯湖人,112,112 : 128,13.5,客1.75,,220.5,大1.7,單1.75
2022/4/8,AM 10:00,20220408-6,金州勇士,128,112 : 128,-13.5,主1.75,,220.5,小1.8,雙1.75
2022/4/9,AM 07:00,20220409-0,密爾瓦基公鹿,131,131 : 101,-11.5,客1.75,1.28,232.5,大1.75,單1.75
2022/4/9,AM 07:00,20220409-0,底特律活塞,101,131 : 101,11.5,主1.75,2.7,232.5,小1.75,雙1.75
2022/4/9,AM 07:00,20220409-1,紐約尼克,114,114 : 92,-2.5,客1.75,1.5,225.5,大1.75,單1.75
2022/4/9,AM 07:00,20220409-1,華盛頓巫師,92,114 : 92,2.5,主1.75,2.05,225.5,小1.75,雙1.75
2022/4/9,AM 07:30,20220409-2,克里夫蘭騎士,107,107 : 118,9.5,客1.75,3.5,232.5,大1.7,單1.75
2022/4/9,AM 07:30,20220409-2,布魯克林籃網,118,107 : 118,-9.5,主1.75,1.15,232.5,小1.8,雙1.75
2022/4/9,AM 07:30,20220409-3,休士頓火箭,115,115 : 117,12.5,客1.8,,228.5,大1.75,單1.75
2022/4/9,AM 07:30,20220409-3,多倫多暴龍,117,115 : 117,-12.5,主1.7,,228.5,小1.75,雙1.75
2022/4/9,AM 08:00,20220409-4,亞特蘭大老鷹,109,109 : 113,1.5,客1.8,1.9,231.5,大1.7,單1.75
2022/4/9,AM 08:00,20220409-4,邁阿密熱火,113,109 : 113,-1.5,主1.7,1.6,231.5,小1.8,雙1.75
2022/4/9,AM 08:00,20220409-5,夏洛特黃蜂,133,133 : 117,3.5,客1.8,2.05,236.5,大1.7,單1.75
2022/4/9,AM 08:00,20220409-5,芝加哥公牛,117,133 : 117,-3.5,主1.7,1.5,236.5,小1.8,雙1.75
2022/4/9,AM 08:30,20220409-6,波特蘭拓荒者,78,78 : 128,19.5,客1.75,,221.5,大1.7,單1.75
